name,facility_type,amenity,speciality,operator,operator_type,beds,emergency,address,operational_status,longitude,latitude,osm_id,source
Dr. Shoaib Anwar,clinic,clinic,,,,,,,,69.013679,25.518822,4959291323,
Smile Point Dentistry,clinic,clinic,,,,,,,,67.048005,24.79927,5133028141,
Karachi Homoeopathic Medical College & Hospital,hospital,hospital,,,,,,,,67.194654,24.840925,5133363020,
JAVED MEDICAL CENTER,clinic,clinic,,,,,,,,68.504471,27.2815,5255390960,
Dr. Saadia Khan Clinic,clinic,clinic,,,,,,,,73.141706,31.445464,5287521834,
Al Huda Trust hospital,hospital,hospital,,,,,,,,67.10114,25.041028,5130272517,
Sindh Government Hospital Korangi,hospital,hospital,,,,,,,,67.163662,24.828971,5133028134,
Ashfaa clinic,hospital,hospital,,,,,,,,71.262203,29.136984,5406422121,
Razia Omar Hospital,hospital,hospital,,,,,,,,67.073309,24.92665,5340510802,
Red Crescent General Hospital Hilal E Ahmer,hospital,hospital,,,,,,,,68.352396,25.368269,1102236416,
BHU Kangar,hospital,hospital,,,,,,,,,,514675298,
Khan Cardiac Clinic,hospital,hospital,,,,,,,,67.081989,24.823263,4786500668,
Baqai University Hospital,hospital,hospital,,,,,,,,67.030851,24.916096,5117205313,
Orthpedic and surgical complex,hospital,hospital,,,,,,,,70.912384,31.819647,4794842222,
Maymar Medical Center,hospital,hospital,,,,,,,,67.127593,25.014504,4741865106,
Al-Sami Clinic,clinic,clinic,,,,,,,,74.306711,31.597244,4912575660,
"Civil hospital, Karachi",hospital,hospital,,,,,,,,67.011678,24.859445,4610363491,
Dr. Noman Clinic,doctor,,,,,,,,,67.067371,24.846697,6209431056,
Despenser,doctors,doctors,,,,,,,,71.351199,32.399037,4370962523,
Imtiaz Memorial Hospital,hospital,hospital,,,,,,,,67.009057,24.943857,5158915950,
Sana Medicos,pharmacy,pharmacy,,,,,,,,67.063036,24.960933,5084174889,
Al Nafees Hospital & ISRA University,hospital,hospital,,,,,yes,,,73.205138,33.655084,2604141784,
Ziauddin Hospital (Keamari),hospital,hospital,,,,,,,,67.003391,24.8164,5130890307,
Kiran Hospital,hospital,hospital,,,,,no,,,67.145672,24.946996,1709637337,Kiran Hospital Road
Life Kidney Stone Center,hospital,hospital,,,,,,,,71.449943,30.201924,4802995322,
Mayo Hospital,hospital,hospital,,,,,,,,,,291409478,
Mariam Hospital,hospital,hospital,,,,,,,,67.08817,24.850446,4791866145,
Prime Care Hospital,hospital,hospital,,,,,,,,74.37541,31.493736,5255424745,
Care Pharmacy,pharmacy,pharmacy,,,,,,,,73.099696,31.407542,2912530959,
Rana Medical Store Tanda,pharmacy,pharmacy,,,,,,,,74.370498,32.700515,4888511926,
