id,product_name,company,pack_size,price_before_pkr,discount_percent,price_after_pkr,availability,text
drug-74aced1d52cc,Zedipime,E-Lite,1 Vial,460,10,414,Sold Out,Zedipime is a pharmaceutical product marketed in Pakistan by E-Lite. It is sold in a pack size of 1 Vial. Its retail price is Rs 414 after a 10% discount from the original price of Rs 460. Market availability: Sold Out.
drug-7e5e43bbb4d6,Zedipime,E-Lite,1 Vial,275,10,248,Sold Out,Zedipime is a pharmaceutical product marketed in Pakistan by E-Lite. It is sold in a pack size of 1 Vial. Its retail price is Rs 248 after a 10% discount from the original price of Rs 275. Market availability: Sold Out.
drug-331848ef9b12,Zee,Danas,10,255,10,230,Sold Out,Zee is a pharmaceutical product marketed in Pakistan by Danas. It is sold in a pack size of 10. Its retail price is Rs 230 after a 10% discount from the original price of Rs 255. Market availability: Sold Out.
drug-53c6518f3937,Zee,Danas,6,275,10,248,Sold Out,Zee is a pharmaceutical product marketed in Pakistan by Danas. It is sold in a pack size of 6. Its retail price is Rs 248 after a 10% discount from the original price of Rs 275. Market availability: Sold Out.
drug-cb9954268384,Zeecin,Wilshire,15ml,180,10,162,Available,Zeecin is a pharmaceutical product marketed in Pakistan by Wilshire. It is sold in a pack size of 15ml. Its retail price is Rs 162 after a 10% discount from the original price of Rs 180. Market availability: Available.
drug-2f27115652f0,Zeecin,Wilshire,6,225,10,203,Available,Zeecin is a pharmaceutical product marketed in Pakistan by Wilshire. It is sold in a pack size of 6. Its retail price is Rs 203 after a 10% discount from the original price of Rs 225. Market availability: Available.
drug-1ed1f1fbaf3f,Zeecin,Wilshire,3,193,10,173,Available,Zeecin is a pharmaceutical product marketed in Pakistan by Wilshire. It is sold in a pack size of 3. Its retail price is Rs 173 after a 10% discount from the original price of Rs 193. Market availability: Available.
drug-b328da76eb75,Zeecin,Wilshire,2 x 3's,113,10,101,Available,Zeecin is a pharmaceutical product marketed in Pakistan by Wilshire. It is sold in a pack size of 2 x 3's. Its retail price is Rs 101 after a 10% discount from the original price of Rs 113. Market availability: Available.
drug-9df19116f786,Zeegap,Hilton,1x14's,376,10,338,Available,Zeegap is a pharmaceutical product marketed in Pakistan by Hilton. It is sold in a pack size of 1x14's. Its retail price is Rs 338 after a 10% discount from the original price of Rs 376. Market availability: Available.
drug-dc6a0bed9ab5,Zeegap,Hilton,1x14's,481,10,433,Available,Zeegap is a pharmaceutical product marketed in Pakistan by Hilton. It is sold in a pack size of 1x14's. Its retail price is Rs 433 after a 10% discount from the original price of Rs 481. Market availability: Available.
drug-583099ab9973,Zeegap,Hilton,1x14's,624,10,562,Available,Zeegap is a pharmaceutical product marketed in Pakistan by Hilton. It is sold in a pack size of 1x14's. Its retail price is Rs 562 after a 10% discount from the original price of Rs 624. Market availability: Available.
drug-a3239e545933,Zeegap,Hilton,1x14's,336,10,302,Available,Zeegap is a pharmaceutical product marketed in Pakistan by Hilton. It is sold in a pack size of 1x14's. Its retail price is Rs 302 after a 10% discount from the original price of Rs 336. Market availability: Available.
